"","monticola B","monticola A/C"
"RAP0634_monticola_B",0.9999,1e-04
"RAP0641_monticola_B",0.9999,1e-04
"RAP0656_monticola_A",0.945483,0.0545167
"RAP0673_monticola_B",0.9999,1e-04
"RAP0679_monticola_A",0.831848,0.168152
"RAP0686_monticola_B",0.9999,1e-04
"RAP0707_monticola_A",0.0800904,0.91991
"RAP0713_monticola_B",0.961251,0.0387487
"RAP0719_monticola_B",0.993052,0.00694792
"RAP0731_monticola_B",0.973988,0.0260118
"RAP0764_monticola_B",0.9999,1e-04
"RAP0771_monticola_B",0.9999,1e-04
"RAP0781_monticola_B",0.9999,1e-04
"RAP0797_monticola_B",0.9999,1e-04
"RAP0807_monticola_B",0.98644,0.0135602
"RAP0826_monticola_B",0.958145,0.0418546
"RAP0837_monticola_B",0.924212,0.0757884
"RAP0845_monticola_B",0.976929,0.0230709
"RAP0864_monticola_B",0.9999,1e-04
"RAP0874_monticola_B",0.9999,1e-04
"RAP0877_monticola_B",0.9999,1e-04
"RAP0881_monticola_B",0.9999,1e-04
"RAP0927_monticola_B",0.9999,1e-04
"RAP0934_monticola_B",0.988034,0.0119659
"RAP0936_monticola_B",0.9999,1e-04
"RAP0947_monticola_B",0.913168,0.0868317
"RAP0967_monticola_B",0.9999,1e-04
"RAP0993_monticola_B",0.950059,0.0499407
"RAP1016_monticola_A",0.100185,0.899815
"RAP1030_monticola_A",0.0387294,0.961271
"RAP1050_monticola_B",0.911043,0.0889567
"RAP1068_monticola_A",0.772085,0.227915
"RAP1071_monticola_C",0.0795488,0.920451
"RAP1075_monticola_C",0.15621,0.84379
"RAP1077_monticola_C",0.244036,0.755964
"RAP1079_monticola_C",0.167689,0.832311
"RAP1081_monticola_C",0.00143636,0.998564
"RAP1083_monticola_C",0.20312,0.79688
"RAP1087_monticola_C",0.280301,0.719699
"RAP1092_monticola_B",0.9999,1e-04
"RAP1102_monticola_B",0.9999,1e-04
"RAP1128_monticola_C",1e-04,0.9999
"RAP1134_monticola_A",1e-04,0.9999
"RAP1136_monticola_A",1e-04,0.9999
"RAP1139_monticola_C",0.0857192,0.914281
"RAP1141_monticola_A",1e-04,0.9999
"RAP1143_monticola_C",1e-04,0.9999
"RAP1145_monticola_C",0.0557737,0.944226
"RAP1150_monticola_C",0.193443,0.806557
"RAP1152_monticola_C",1e-04,0.9999
"RAP1153_monticola_C",0.125097,0.874903
"RAP1155_monticola_C",0.27772,0.72228
"RAP1175_monticola_B",0.971809,0.0281906
"RAP1181_monticola_B",0.961378,0.0386217
"RAP1185_monticola_B",0.986271,0.0137293
"RAP1191_monticola_B",0.989248,0.0107518
"RAP1198_monticola_B",0.9999,1e-04
"RAP1199_monticola_B",0.9999,1e-04
"RAP1203_monticola_B",0.9999,1e-04
"RAP1258_monticola_B",0.9999,1e-04
"RAP1277_monticola_B",0.9999,1e-04
"RAP1283_monticola_B",0.994272,0.00572835
"RAP1298_monticola_B",0.931946,0.068054
"RAP1326_monticola_B",0.925519,0.0744806
"RAP1334_monticola_B",0.905053,0.0949469
"RAP1361_monticola_C",0.00224508,0.997755
"RAP1380_monticola_B",0.638055,0.361945
"RAP1383_monticola_B",0.518962,0.481038
"RAP1427_monticola_B",0.899271,0.100729
"RAP1440_monticola_B",0.981196,0.0188035
"RAP1451_monticola_B",0.9999,1e-04
